,0
0,18
1,17
2,17
3,17
4,17
5,16
6,14
7,12
8,11
9,11
10,13
11,11
12,13
13,13
14,7
15,4
16,11
17,17
18,20
19,13
20,10
21,10
22,10
23,10
24,18
25,18
26,18
27,18
28,18
29,18
30,16
31,10
32,2
33,-1
34,-5
35,-14
36,-18
37,-34
38,-46
39,-48
40,-48
41,-54
42,-43
43,-42
44,-45
45,-45
46,-47
47,-47
48,20
49,20
50,20
51,20
52,20
53,20
54,19
55,19
56,19
57,10
58,12
59,7
60,10
61,6
62,-4
63,-15
64,-18
65,-20
66,-16
67,-7
68,-13
69,-9
70,-13
71,-17
72,17
73,16
74,16
75,16
76,16
77,16
78,15
79,10
80,7
81,-6
82,-6
83,-6
84,-7
85,-10
86,-6
87,2
88,-1
89,2
90,0
91,8
92,9
93,7
94,8
95,7
96,20
97,20
98,20
99,20
100,20
101,20
102,17
103,7
104,-6
105,-20
106,-25
107,-15
108,-16
109,-15
110,-7
111,-12
112,-10
113,-10
114,-9
115,-7
116,-9
117,-8
118,-8
119,-14
120,20
121,21
122,21
123,21
124,21
125,21
126,19
127,19
128,0
129,-11
130,-11
131,-13
132,-13
133,-16
134,-22
135,-18
136,-3
137,1
138,9
139,26
140,24
141,23
142,23
143,23
144,20
145,20
146,19
147,19
148,19
149,19
150,17
151,12
152,7
153,7
154,4
155,-4
156,-5
157,-8
158,-9
159,-15
160,-20
161,-24
162,-10
163,-4
164,-4
165,-4
166,-7
167,-7
168,20
169,19
170,19
171,19
172,19
173,18
174,18
175,16
176,-8
177,-11
178,-12
179,-12
180,-13
181,-21
182,-20
183,-35
184,-36
185,-36
186,-33
187,-34
188,-38
189,-38
190,-45
191,-46
192,19
193,18
194,18
195,18
196,18
197,18
198,16
199,17
200,16
201,6
202,-2
203,7
204,12
205,0
206,-16
207,-24
208,-23
209,-33
210,-35
211,-41
212,-41
213,-40
214,-53
215,-53
216,20
217,21
218,21
219,21
220,21
221,21
222,18
223,17
224,15
225,7
226,7
227,6
228,8
229,4
230,-2
231,-2
232,-16
233,-21
234,-25
235,-18
236,-19
237,-15
238,-14
239,-14
240,20
241,17
242,17
243,17
244,17
245,17
246,15
247,10
248,10
249,1
250,1
251,4
252,-6
253,-3
254,-2
255,-7
256,0
257,-12
258,-9
259,3
260,2
261,3
262,5
263,5
264,20
265,19
266,19
267,19
